appid,name,banner,woke,description
1449200,"AI: THE SOMNIUM FILES - nirvanA Initiative","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1449200/header_292x136.jpg?t=1715701149",-1,"Contains overtly pro-LGBTQ+ messaging. Features multiple LGBTQ+ characters. Mizuki advocates for DEI and LGBTQ+ acceptance. See the full review for more details."
1953620,"Alone in the crowd","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1953620/header_292x136.jpg?t=1710583510",1,"Contains no Woke content."
535520,"Nidhogg 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/535520/header_292x136.jpg?t=1574376543",0,"Contains subtly pro-LGBTQ+ messaging. No distinction between male and female during character creation."
227300,"Euro Truck Simulator 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/227300/header_292x136.jpg?t=1725876645",0,"Contains subtly pro-DEI messaging. The 'Aspects of Professionalism' achievement requires having at least 10 male and 10 female drivers of max level in the player's company."
1057700,"Battle Grounds III","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1057700/header_292x136.jpg?t=1721013024",1,"Contains no Woke content."
71250,"Sonic Adventure DX","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/71250/header_292x136.jpg?t=1721832639",1,"Contains no Woke content."
25990,"Majesty Gold HD","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/25990/header_292x136.jpg?t=1713279683",1,"Contains no Woke content."
17510,"Age of Chivalry","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/17510/header_292x136.jpg?t=1577355178",1,"Contains no Woke content."
39500,"Gothic® 3","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/39500/header_292x136.jpg?t=1725003209",1,"Contains no Woke content."
1031140,"Warhammer The Horus Heresy: Legions","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1031140/header_292x136.jpg?t=1719419545",1,"Contains no Woke content."
440090,"Heroes of The West","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/440090/header_292x136.jpg?t=1489181294",1,"Contains no Woke content."
1206240,"Talvisota - Winter War","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1206240/header_292x136.jpg?t=1586783069",1,"Contains no Woke content."
222880,"Insurgency","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/222880/header_292x136.jpg?t=1610560212",1,"Contains no Woke content."
447820,"Day of Infamy","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/447820/header_292x136.jpg?t=1648054343",1,"Contains no Woke content."
1230,"Mare Nostrum","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1230/header_292x136.jpg?t=1447351524",1,"Contains no Woke content."
1280,"Darkest Hour: Europe '44-'45","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1280/header_292x136.jpg?t=1679904967",1,"Contains no Woke content."
1200,"Red Orchestra: Ostfront 41-45","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1200/header_292x136.jpg?t=1551467896",1,"Contains no Woke content."
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/35450/header_292x136.jpg?t=1552425243",1,"Contains no Woke content."
40970,"Stronghold Crusader HD","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/40970/header_292x136.jpg?t=1725017757",1,"Contains no Woke content."
40950,"Stronghold HD (2012)","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/40950/header_292x136.jpg?t=1725016869",1,"Contains no Woke content."
19900,"Far Cry® 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/19900/header_292x136.jpg?t=1709317476",1,"Contains no Woke content."
1229490,"ULTRAKILL","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1229490/header_292x136.jpg?t=1726269293",-1,"Contains overtly pro-LGBTQ+ messaging. The word 'gay' is spelled out by three mannequins posing in flag symbols. Level 5-S contains a reference to the Blåhaj plushie, a pro-trans symbol."
304390,"FOR HONOR™","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/304390/header_292x136.jpg?t=1725001871",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. Uses body type 1 and 2 during character customization. Features front-line female combatants fighting males in melee combat."
1030830,"Mafia II: Definitive Edition","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1030830/header_292x136.jpg?t=1724288982",1,"Contains no Woke content."
1030840,"Mafia: Definitive Edition","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1030840/header_292x136.jpg?t=1724260178",1,"Contains no Woke content."
1556790,"Isonzo","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1556790/header_292x136_alt_assets_7.jpg?t=1725626987",1,"Contains no Woke content."
633460,"Tannenberg","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/633460/header_292x136.jpg?t=1724157461",1,"Contains no Woke content."
242860,"Verdun","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/242860/header_292x136.jpg?t=1724156976",1,"Contains no Woke content."
1824220,"Chivalry 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1824220/header_292x136.jpg?t=1716390459",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. The class customization menu has 13 female head options. Selecting a female head does not alter the body, which still appears male."
1933660,"Demons Roots","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1933660/header_292x136.jpg?t=1726214946",-1,"Contains overtly pro-LGBTQ+, overtly pro-DEI, and overtly pro-immigration messaging. Features a character who is a lesbian. Features a cross-dressing male. Optional sex scenes include homosexuality."
629760,"MORDHAU","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/629760/header_292x136.jpg?t=1714391873",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character customization. Patch 26 added the option for characters to be female."
424030,"War of Rights","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/424030/header_292x136.jpg?t=1722184405",1,"Contains no Woke content."
1440440,"Sam & Max Save the World","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1440440/header_292x136.jpg?t=1723422795",0,"Contains subtly pro-LGBTQ+ and subtly pro-DEI messaging. This remaster includes changes to multiple lines of dialogue the developer was 'uncomfortable including in a game in 2020.'"
2933130,"The Lord of the Rings: Return to Moria™","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2933130/header_292x136.jpg?t=1724973906",-1,"Contains overtly pro-DEI messaging. Allows the player to create lore-inaccurate, dark-skinned and/or beardless dwarves. Dwarves with these characteristics are featured in the opening cinematic."
2399160,"Soulash 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2399160/header_292x136.jpg?t=1721416355",1,"Contains no Woke content."
1623210,"Soulash","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623210/header_292x136.jpg?t=1682328764",1,"Contains no Woke content."
1501750,"Lords of the Fallen","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1501750/header_292x136.jpg?t=1725286962",-1,"Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation."
2416790,"Old School RPG","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2416790/header_292x136.jpg?t=1725716024",1,"Contains no Woke content."
2358720,"Black Myth: Wukong","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/header_292x136.jpg?t=1725007201",1,"Contains no Woke content."
2115170,"Jurassic Clans","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2115170/header_292x136.jpg?t=1669724945",0,"Contains subtly pro-DEI messaging. The game randomly determines the male/female appearance of units as they appear on the map. Units with only females are possible. All units can attack dinosaurs."
2085790,"Mutant Meltdown","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2085790/header_292x136.jpg?t=1669394263",1,"Contains no Woke content."
460810,"Vanquish","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/460810/header_292x136.jpg?t=1721737247",1,"Contains no Woke content."
307690,"Sleeping Dogs: Definitive Edition","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/307690/header_292x136.jpg?t=1602800785",1,"Contains no Woke content."
1150530,"Wizard with a Gun","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1150530/header_292x136.jpg?t=1717802861",-1,"Contains overtly pro-DEI, overtly pro-LGBTQ+, subtly pro-communism, and subtly anti-colonialism messaging. See the full review for additional details."
2421410,"Cyber Manhunt 2: New World - The Hacking Simulator","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2421410/header_292x136.jpg?t=1726026786",-1,"Contains overtly pro-LGBTQ+ messaging. Features multiple LGBTQ+ npcs including some who have 'LGBT+' written under their names on 'toothbook.'"
1552620,"Expedition Agartha","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1552620/header_292x136.jpg?t=1720645244",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Uses masculine/feminine body types in place of biological sex during character creation. Out-of-place diverse npcs."
918570,"Century: Age of Ashes","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/918570/header_292x136.jpg?t=1721665196",-1,"Contains overtly pro-DEI messaging. The Windguards and Thornweavers are all female. There is no explanation for why this is the case."
1610440,"Minds Beneath Us","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1610440/header_292x136.jpg?t=1723029588",-1,"Contains overtly pro-DEI, overtly pro-LGBTQ+, and subtly pro-communism messaging. Features multiple LGBTQ+ characters. Many female authority figures. Frances lectures you about her support for UBI."
1771980,"The Operator","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1771980/header_292x136.jpg?t=1726147770",-1,"Contains overtly pro-DEI messaging. Features multiple female agents."
1205520,"Pentiment","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1205520/header_292x136.jpg?t=1713828301",0,"Contains subtly pro-DEI messaging. Magdalene's story is historically improbable. Some of the dialogue in her story is out-of-place for women in 16th century Bavaria."
1520,"DEFCON","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1520/header_292x136.jpg?t=1725115415",1,"Contains no Woke content."
2527390,"Dead Rising Deluxe Remaster","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2527390/header_292x136.jpg?t=1726189140",-1,"Contains overtly pro-DEI messaging. The npc Larry Chiang was race-swapped. 'Erotica' photo points have been removed."
2448970,"Dungeonborne","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2448970/header_292x136.jpg?t=1723449488",-1,"Contains overtly pro-LGBTQ+ and subtly pro-DEI messaging. Uses A and B in place of male and female during character creation. Out-of-place diverse npcs with no explanation for why they are there."
1528590,"VSCS-II","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1528590/header_292x136.jpg?t=1708619114",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Elwood is referred to using they/them pronouns. Sex and gender are listed separately and include trans. Equal numbers of male/female hackers."
1218210,"Coromon","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1218210/header_292x136.jpg?t=1726238764",-1,"Contains overtly pro-LGBTQ+ messaging. LGBTQ+ items in the style crystal shop. The rainbow silquil item was free during June 2024. No distinction between male and female during character creation."
386360,"SMITE®","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/386360/header_292x136.jpg?t=1725364030",-1,"Contains overtly pro-LGBTQ+ messaging. Achilles's lore explicitly describes Patroclus as his lover. There is no explicit confirmation of this in Homer's Iliad. Multiple pride flag avatars."
1910600,"ONE BTN BOSSES","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1910600/header_292x136.jpg?t=1722962729",-1,"Contains overtly pro-LGBTQ+ messaging. Features multiple 'queer color palettes.' The 'Ally' achievement features a pride flag and is awarded for using one of the 'queer color palettes.'"
2142790,"Fields of Mistria","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2142790/header_292x136.jpg?t=1726326073",-1,"Contains overtly pro-LGBTQ+ messaging. Pronoun selection including an option for they/them. Homosexual romance options."
2139460,"Once Human","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2139460/header_292x136.jpg?t=1726220194",-1,"Contains overtly pro-LGBTQ+ messaging. Uses body type in place of biological sex during character creation."
325210,"Arctico","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/325210/header_292x136_alt_assets_6.jpg?t=1724675432",0,"Contains subtly pro-LGBTQ+ messaging. No distinction between male and female during character creation aside from hair style."
473690,"Absolver","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/473690/header_292x136.jpg?t=1721341072",-1,"Contains overtly pro-DEI messaging. Equal numbers of male and female fighters. Half of the bosses are female, including the final boss."
302510,"Ryse: Son of Rome","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/302510/header_292x136.jpg?t=1588670554",0,"Contains subtly pro-DEI messaging. Boudica is a front-line combatant shown to be capable of fighting one-on-one with officers of the Roman Legion."
234140,"Mad Max","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/234140/header_292x136.jpg?t=1634068672",1,"Contains no Woke content."
238320,"Outlast","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238320/header_292x136.jpg?t=1666817106",1,"Contains no Woke content."
262060,"Darkest Dungeon®","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/262060/header_292x136.jpg?t=1698787583",-1,"Contains overtly pro-DEI messaging. Features multiple female heroes who are front-line combatants, including the Arbalest, a WOC wearing full plate armor who wields a giant crossbow."
1693980,"Dead Space","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1693980/header_292x136.jpg?t=1702492799",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Multiple characters have been race-swapped. Jacob Temple is now bisexual. The ship's bathrooms are now 'gender-neutral'. More 'diverse' ads."
1574240,"Dread Delusion","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1574240/header_292x136.jpg?t=1726072489",-1,"Contains overtly pro-LGBTQ+ and subtly pro-DEI messaging. See the full review for spoilers."
2475610,"Isle of Maligree","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2475610/header_292x136.jpg?t=1711047395",-1,"Contains overtly pro-LGBTQ+ messaging. Pronoun selection including an option for they/them. They/them is the default option."
3059010,"Commando Collection","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3059010/header_292x136.jpg?t=1725620862",0,"Contains subtly pro-DEI messaging. Female player character option. The female player characters are front-line combatants who are functionally identical to their male counterparts."
2025310,"Sigh of the Abyss","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2025310/header_292x136.jpg?t=1726138220",0,"Contains subtly pro-LGBTQ+ messaging. LGBTQ+ romance options including lesbian and bisexual."
1693650,"COPPER ODYSSEY","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1693650/header_292x136.jpg?t=1627660260",-1,"Contains overtly pro-LGBTQ+ messaging. The player character and Bad Girl are referred to using they/them pronouns."
1481910,"Time Bandit – Part 1: Appendages of the Machine","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1481910/header_292x136.jpg?t=1701992930",-1,"Contains overtly pro-communism messaging. See the full review for spoilers."
1477130,"Trouble Comes Twice","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1477130/header_292x136.jpg?t=1719522368",-1,"Contains overtly pro-LGBTQ+ messaging. The player characters are both bisexual. Homosexual romance options."
829210,"AIdol: Artificial Intelligence Idol","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/829210/header_292x136.jpg?t=1723596503",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Features multiple LGBTQ+ characters and a character who is blind."
872680,"Z Dawn","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/872680/header_292x136.jpg?t=1683319687",1,"Contains no Woke content."
1286990,"CONSCRIPT","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286990/header_292x136.jpg?t=1725370025",0,"Contains subtly pro-LGBTQ+ messaging. In the German version of the game, the description of Veteran difficulty uses the 'gender star' when referring to players."
1887840,"Another Crab's Treasure","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1887840/header_292x136.jpg?t=1723838250",-1,"Contains overtly pro-LGBTQ+ messaging. The 'Rainbow Crabitalism' item features a pride flag design and pro-pride message."
1179580,"KAKU: Ancient Seal","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1179580/header_292x136.jpg?t=1726108425",1,"Contains no Woke content."
2521600,"Little-Known Galaxy","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2521600/header_292x136.jpg?t=1716224360",-1,"Contains overtly pro-LGBTQ+ messaging. Uses body type instead of biological sex during character creation. Homosexual romance options."
2071500,"Islands of Insight","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2071500/header_292x136.jpg?t=1716489364",-1,"Contains overtly pro-LGBTQ+ and overtly pro-DEI messaging. Uses unlabeled presets instead of male/female. Makes the player agree to a 'compendium of conduct' that promotes an 'inclusive environment.'"
427410,"Abiotic Factor","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/427410/header_292x136.jpg?t=1725452010",0,"Contains subtly pro-LGBTQ+ messaging. No clear male/female distinction during character creation. The outfits do have a M and F distinction, but the accompanying changes to the body are negligible."
1150440,"Aliens: Dark Descent","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1150440/header_292x136.jpg?t=1723627822",-1,"Contains overtly pro-DEI messaging. Many female authority figures including the player character. Most important characters are female."
1549970,"Aliens: Fireteam Elite","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1549970/header_292x136.jpg?t=1695812247",-1,"Contains overtly pro-LGBTQ+ messaging. Uses 'archetype' instead of biological sex during character creation. Uses masculine and feminine instead of male and female."
1166780,"Interactivity: The Interactive Experience","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1166780/header_292x136.jpg?t=1666984931",1,"Contains no Woke content. See the full review for more information about this developer."
734120,"Bonbon","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/734120/header_292x136.jpg?t=1714573833",0,"Contains subtly anti-family messaging. Makes the player listen to a recording of a father reading his toddler child a story about a terrible family with an abusive father who hangs himself."
16810,"Sid Meier's Civilization IV: Colonization","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/16810/header_292x136.jpg?t=1573064277",1,"Contains no Woke content."
3900,"Sid Meier's Civilization® IV","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3900/header_292x136.jpg?t=1724341287",1,"Contains no Woke content."
3910,"Sid Meier's Civilization® III Complete","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3910/header_292x136.jpg?t=1569013660",1,"Contains no Woke content."
1325260,"Kitsune Tails","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1325260/header_292x136.jpg?t=1723379994",-1,"Contains overtly pro-LGBTQ+ messaging. Features multiple lesbian characters, including the player character. Features lesbian romance."
1258040,"Super Bernie World","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1258040/header_292x136.jpg?t=1663054367",-1,"Contains overtly pro-socialism messaging. Features Bernie Sanders, a self-described 'democratic socialist.' See the link for the developer's endorsement of Bernie Sanders for US president."
628830,"Ultra Hat Dimension","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/628830/header_292x136.jpg?t=1634247615",1,"Contains no Woke content. That being said, see the full review for more information regarding this developer."
561740,"MidBoss","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/561740/header_292x136.jpg?t=1634751386",-1,"Contains overtly pro-LGBTQ+ messaging. The player character is non-binary."
444090,"Paladins®","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/444090/header_292x136.jpg?t=1713560419",-1,"Contains overtly pro-LGBTQ+ messaging. Multiple LGBTQ+ flags available as avatars. According to the developers, Fernando and Saati are gay."
522040,"Princess Remedy 2: In A Heap of Trouble","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/522040/header_292x136.jpg?t=1573491452",-1,"Contains overtly pro-LGBTQ+ messaging. The player character is pansexual. Any npc you have healed can be asked out on a date."
407900,"Princess Remedy in a World of Hurt","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/407900/header_292x136.jpg?t=1573225995",-1,"Contains overtly pro-LGBTQ+ messaging. The player character is pansexual. The npc Frallan is a lesbian who reveals the player character dumped her in the past. Anyone you have healed can be married."
2428420,"Umbraclaw","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2428420/header_292x136.jpg?t=1717052732",1,"Contains no Woke content."
2838930,"PuzzMiX","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2838930/header_292x136.jpg?t=1713513498",1,"Contains no Woke content."
2404370,"YOHANE THE PARHELION -BLAZE in the DEEPBLUE-","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2404370/header_292x136.jpg?t=1721266734",1,"Contains no Woke content."
822240,"Animal Jam","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/822240/header_292x136.jpg?t=1588689834",-1,"Contains overtly pro-LGBTQ+ messaging. This 'children's game' allows users to create and display LGBT themed artwork. During the month of June, there is a pro-pride message and free rainbow items."
1574820,"Until Then","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1574820/header_292x136.jpg?t=1725485534",-1,"Features overtly pro-LGBTQ+ messaging. Features multiple LGBTQ+ characters and romantic interactions. Features multiple pride flags, a pride pin, and pro-LGBTQ+ slogans."
844590,"Hypnospace Outlaw","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/844590/header_292x136.jpg?t=1712264749",-1,"Contains overtly pro-LGBTQ+, overtly pro-DEI, and overtly anti-free speech messaging. Portrays an 'alternate history' version of the internet in 1999 which is more 'inclusive' than it actually was."
2081400,"Gal Guardians: Demon Purge","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2081400/header_292x136.jpg?t=1725257366",1,"Contains no Woke content."
1149440,"Dragon Marked For Death","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1149440/header_292x136.jpg?t=1667197542",-1,"Contains overtly pro-LGBTQ+ messaging. The player character is referred to using they/them pronouns."
2840770,"Avatar: Frontiers of Pandora™","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2840770/header_292x136.jpg?t=1720787156",-1,"Contains overtly anti-human, overtly anti-colonialism, and subtly anti-western society messaging.  The non-human player character must kill human colonizers on an alien world."
1588380,"Blaster Master Zero 3","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1588380/header_292x136.jpg?t=1725256291",0,"Contains subtly pro-LGBTQ+ messaging. See the full review for spoilers."
1034910,"Blaster Master Zero 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1034910/header_292x136.jpg?t=1725256627",1,"Contains no Woke content."
1034900,"Blaster Master Zero","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1034900/header_292x136.jpg?t=1725256562",0,"Contains subtly pro-climate action messaging. See the full review for spoilers."
2585040,"GUNVOLT RECORDS Cychronicle","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2585040/header_292x136.jpg?t=1721266864",1,"Contains no Woke content."
1931690,"Azure Striker GUNVOLT 3","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1931690/header_292x136.jpg?t=1725013297",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. See the full review for spoilers."
1065180,"Azure Striker Gunvolt 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1065180/header_292x136.jpg?t=1725013246",1,"Contains no Woke content."
1733880,"Gunvolt Chronicles: Luminous Avenger iX 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1733880/header_292x136.jpg?t=1725013457",1,"Contains no Woke content."
1085180,"Gunvolt Chronicles: Luminous Avenger iX","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1085180/header_292x136.jpg?t=1725013448",1,"Contains no Woke content."
774651,"MIGHTY GUNVOLT BURST","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/774651/header_292x136.jpg?t=1667207469",1,"Contains no Woke content."
394600,"Mighty Gunvolt","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/394600/header_292x136.jpg?t=1668402249",1,"Contains no Woke content."
388800,"Azure Striker Gunvolt","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/388800/header_292x136.jpg?t=1725013100",1,"Contains no Woke content."
692850,"Bloodstained: Ritual of the Night","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/692850/header_292x136.jpg?t=1725038296",0,"Contains subtly pro-DEI messaging. According to Producer Koji Igarashi, the protagonist was originally designed to be male, but was changed to female to better satisfy Americans."
1257360,"Bloodstained: Curse of the Moon 2","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1257360/header_292x136.jpg?t=1725257311",1,"Contains no Woke content."
838310,"Bloodstained: Curse of the Moon","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/838310/header_292x136.jpg?t=1725257308",1,"Contains no Woke content."
924750,"Harold Halibut","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/924750/header_292x136.jpg?t=1717438235",-1,"Contains overtly pro-DEI and overtly pro-LGBTQ+ messaging. See the full review for spoilers."
1586880,"Essays on Empathy","https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1586880/header_292x136.jpg?t=1684858756",-1,"Contains overtly pro-transhumanism, overtly pro-DEI, subtly anti-family, and overtly pro-LGBTQ+ messaging. See the full review for spoilers."
